Id,date,company_code,company,yesterday_price,open,last,close,low,high,qty_traded,num_trades,value,next_day_ret
51,2018-01-02,380070,ALKIMIA,46.35,0.0,0.0,46.35,0.0,0.0,0,0,,-86.88965658435022
52,2018-01-02,300045,ASTREE,34.0,0.0,0.0,34.0,0.0,0.0,0,0,,-86.88965658435022
53,2018-01-02,758001,BEST LEASE,1.9,0.0,0.0,1.9,0.0,0.0,0,0,,-350.0475513211909
54,2018-01-02,130055,BTE (ADP),17.24,17.24,17.21,17.21,17.21,17.24,502,2,8648.54,-325.1232417092775
55,2018-01-02,735001,CIMENTS DE BIZERTE,2.49,2.49,2.5,2.5,2.49,2.5,790,4,1967.6,-126.88965658434914
56,2018-01-02,330090,ELBENE INDUSTRIE,3.58,0.0,0.0,3.58,0.0,0.0,0,0,,-86.88965658435022
57,2018-01-02,320075,ICF,28.13,0.0,0.0,28.13,0.0,0.0,0,0,,-58.45026803120268
58,2018-01-02,672004,MODERN LEASING,3.86,0.0,0.0,3.86,0.0,0.0,0,0,,-86.88965658435022
59,2018-01-02,250065,PLAC. TSIE-SICAF,40.71,0.0,0.0,40.71,0.0,0.0,0,0,,-86.88965658435022
60,2018-01-02,667001,SIPHAT,5.3,0.0,0.0,5.3,0.0,0.0,0,0,,-369.90852450887735
61,2018-01-02,140070,SPDIT - SICAF,8.2,0.0,0.0,8.2,0.0,0.0,0,0,,-208.84087609654546
62,2018-01-02,664001,STEQ,7.62,0.0,0.0,7.62,0.0,0.0,0,0,,-86.88965658435022
63,2018-01-02,410020,TUNINVEST-SICAR,6.5,0.0,0.0,6.5,0.0,0.0,0,0,,-86.88965658435022
64,2018-01-02,240050,UBCI,24.81,0.0,0.0,24.81,0.0,0.0,0,0,,-86.88965658435022
65,2018-01-02,768001,ASS MULTI ITTIHAD,8.69,8.5,8.42,8.25,8.42,8.5,2023,19,17071.66,-389.91995961465295
66,2018-01-02,430030,SITEX,6.25,0.0,0.0,6.25,0.0,0.0,0,0,,-86.88965658435022
67,2018-01-02,617001,STE TUN. DU SUCRE,7.1,0.0,0.0,7.1,0.0,0.0,0,0,,-86.88965658435022
68,2018-01-02,150085,AMS,1.16,1.13,1.18,1.18,1.13,1.18,2987,9,3405.32,-341.1269447199439
69,2018-01-02,740001,CARTHAGE CEMENT,2.32,2.34,2.33,2.33,2.33,2.37,22509,56,52714.65,-172.72656645559547
70,2018-01-02,764001,CEREALIS,4.11,4.05,4.05,4.05,4.05,4.05,10000,14,40500.0,-284.4205207818806
71,2018-01-02,749001,HEXABYTE,5.29,5.28,5.28,5.28,5.28,5.28,286,3,1510.08,-67.95026264495574
72,2018-01-02,751001,LAND OR,7.45,7.5,7.5,7.5,7.5,7.5,8,2,60.0,-420.2229899176835
73,2018-01-02,754001,NEW BODY LINE,4.99,4.97,4.95,4.95,4.83,4.97,1562,10,7739.56,-187.89975759445076
74,2018-01-02,770001,OFFICEPLAST,3.34,3.31,3.2,3.2,3.2,3.44,7632,29,24808.93,-555.6396565843513
75,2018-01-02,734001,SERVICOM,1.61,1.59,1.55,1.52,1.55,1.59,3310,8,5190.5,-218.46860395277167
76,2018-01-02,765001,TAWASOL GP HOLDING,0.37,0.36,0.38,0.38,0.36,0.38,37753,45,13865.56,-350.04755132119203
77,2018-01-02,750001,AETECH,0.49,0.0,0.0,0.51,0.0,0.0,0,0,,305.26720616074863
78,2018-01-02,766001,MAGHREB INTERN PUB,0.96,0.0,0.0,0.96,0.0,0.0,0,0,,-86.88965658435022
79,2018-01-02,773001,SANIMED,4.28,0.0,0.0,4.28,0.0,0.0,0,0,,-110.25414256566002
80,2018-01-02,760001,SOTEMAIL,2.49,0.0,0.0,2.49,0.0,0.0,0,0,,-86.88965658435022
81,2018-01-02,503001,STIP,1.06,0.0,0.0,1.06,0.0,0.0,0,0,,-86.88965658435022
82,2018-01-03,725001,ADWYA,5.39,5.38,5.35,5.35,5.35,5.39,2395,24,12872.65,387.0006683472904
83,2018-01-03,340005,AMEN BANK,24.0,23.99,23.99,23.99,23.7,24.0,530,10,12690.82,-24.346738866775077
84,2018-01-03,730001,ARTES,6.1,6.1,6.25,6.25,6.1,6.26,8509,22,52504.33,29.168892646356248
85,2018-01-03,714001,ASSAD,9.0,8.83,8.99,8.99,8.83,8.99,627,9,5537.82,124.40359787438737
86,2018-01-03,360035,ATB,4.18,4.15,4.15,4.15,4.15,4.15,543,4,2253.45,61.361663730692406
87,2018-01-03,774001,ATELIER MEUBLE INT,2.49,0.0,0.0,2.49,0.0,0.0,0,0,,-26.991749923925834
88,2018-01-03,470010,ATL,3.09,3.09,3.09,3.09,3.09,3.1,1458,6,4511.02,45.53135219328208
89,2018-01-03,160015,ATTIJARI BANK,36.6,36.0,36.15,36.15,36.0,36.15,6766,38,243670.93,101.68894797139005
90,2018-01-03,661001,ATTIJARI LEASING,17.88,17.71,17.71,17.71,17.71,17.71,216,3,3825.36,41.401529574645046
91,2018-01-03,190060,BH,18.48,18.45,18.43,18.43,18.43,18.45,681,6,12556.75,-220.1463542337312
92,2018-01-03,180045,BIAT,118.1,118.0,120.0,120.0,117.4,120.0,965,17,113869.4,-111.83110735364377
93,2018-01-03,310060,BNA,11.61,11.79,11.7,11.7,11.51,11.79,901,13,10416.92,4.621884099347273
94,2018-01-03,220005,BT,7.81,7.82,7.82,7.82,7.8,7.82,17104,25,133683.1,13.16889264635579
95,2018-01-03,759001,CELLCOM,1.89,1.9,1.9,1.9,1.9,1.9,20,1,38.0,-39.462686301012795
96,2018-01-03,420085,CIL,16.84,17.0,17.3,17.3,16.4,17.3,401,10,6777.14,290.62554004519956
97,2018-01-03,755001,CITY CARS,10.75,11.07,11.07,11.07,11.0,11.07,4839,11,53534.23,-50.06507302663499
98,2018-01-03,767001,DELICE HOLDING,16.5,16.69,16.5,16.5,16.5,16.7,42330,9,698629.4,304.07798355544634
99,2018-01-03,665001,ELECTROSTAR,2.65,2.7,2.67,2.67,2.67,2.7,310,6,828.45,-136.64384143604158
100,2018-01-03,741001,ENNAKL AUTOMOBILES,12.4,12.65,12.6,12.6,12.5,12.65,405,8,5087.0,-66.1961867187233
101,2018-01-03,721001,ESSOUKNA,3.69,3.65,3.65,3.65,3.65,3.65,210,2,766.5,259.7442351121093
102,2018-01-03,757001,EURO-CYCLES,26.5,26.5,27.5,27.5,26.5,27.5,2389,54,64360.75,373.1688926463561
103,2018-01-03,713001,GIF-FILTER,1.48,1.48,1.44,1.44,1.44,1.48,4991,33,7198.62,290.9466704241348
104,2018-01-03,731013,HANNIBAL LEASE,8.06,0.0,0.0,8.06,0.0,0.0,0,0,,50.38973631881216
105,2018-01-03,644001,MAGASIN GENERAL,38.6,39.0,39.0,39.0,39.0,39.0,100,1,3900.0,13.16889264635579
106,2018-01-03,100010,MONOPRIX,11.6,11.59,11.6,11.6,11.3,11.6,1606,14,18612.9,-73.03800390536796
107,2018-01-03,762001,MPBS,3.12,3.03,3.03,3.03,3.03,3.03,65,1,196.95,244.1919949565885
108,2018-01-03,753001,ONE TECH HOLDING,13.2,13.38,13.78,13.78,13.2,13.78,2555,34,34456.94,-117.45520024188826
109,2018-01-03,570001,POULINA GP HOLDING,10.91,10.91,11.49,11.49,10.91,11.5,3589,27,40385.43,-134.78585060864856
110,2018-01-03,761001,SAH,15.51,15.5,15.65,15.65,15.5,15.8,3578,34,55767.8,102.62576165593896
111,2018-01-03,110025,SFBT,19.4,19.31,19.88,19.88,19.31,19.88,5413,65,105456.01,-37.13291821883402
112,2018-01-03,659001,SIAME,2.37,2.31,2.3,2.3,2.3,2.31,1047,9,2408.23,-30.309368223208068
113,2018-01-03,400005,SIMPAR,42.8,43.0,43.99,43.99,43.0,43.99,379,8,16464.61,-98.22005938819767
114,2018-01-03,718001,SITS,2.35,2.35,2.35,2.35,2.3,2.35,1249,6,2917.2,481.25399902933407
115,2018-01-03,678001,SOMOCER,1.16,1.16,1.2,1.2,1.16,1.21,64166,115,76281.11,263.1688926463571
116,2018-01-03,729001,SOPAT,0.74,0.72,0.74,0.74,0.72,0.74,7545,17,5438.82,283.4391629166255
117,2018-01-03,653001,SOTETEL,2.81,2.82,2.82,2.82,2.82,2.82,660,5,1861.2,225.9348500931635
118,2018-01-03,763001,SOTIPAPIER,3.52,3.42,3.5,3.5,3.42,3.5,155,10,539.62,-15.402535925072014
119,2018-01-03,666001,SOTRAPIL,10.7,10.7,10.71,10.71,10.69,10.71,2505,16,26802.43,190.57318769770905
120,2018-01-03,658001,SOTUMAG,1.93,1.97,1.95,1.95,1.92,1.97,19948,28,38484.46,13.16889264635579
121,2018-01-03,656001,SOTUVER,4.94,4.9,4.8,4.8,4.8,4.9,4544,21,21858.2,-278.49777402030986
122,2018-01-03,606001,STAR,98.0,98.0,100.0,100.0,98.0,100.0,31,4,3040.0,11.16889264635601
123,2018-01-03,260095,STB,3.69,3.69,3.72,3.72,3.69,3.72,1500,8,5561.09,-40.59454821385921
124,2018-01-03,744001,TELNET HOLDING,5.86,5.86,5.94,5.94,5.85,5.95,16784,41,98402.04,282.52916200662395
125,2018-01-03,727001,TPR,3.48,3.5,3.4,3.4,3.4,3.5,11334,25,39535.6,-310.36051911835006
126,2018-01-03,738001,TUNIS RE,8.4,8.4,8.25,8.25,8.2,8.4,7258,21,60039.03,316.1991956766586
127,2018-01-03,120040,TUNISAIR,0.43,0.43,0.42,0.42,0.42,0.43,24678,38,10427.04,251.26413074159305
128,2018-01-03,769001,UADH,2.45,2.45,2.46,2.46,2.45,2.46,2020,4,4949.2,582.2745837032661
129,2018-01-03,390010,UIB,22.01,22.2,22.1,22.1,22.01,22.2,6147,27,135482.97,-32.079976131925704
130,2018-01-03,772001,UNIMED,7.85,7.85,8.0,8.0,7.84,8.0,1557,17,12275.35,-11.831107353643677
131,2018-01-03,720001,WIFACK INT BANK,7.43,7.41,7.41,7.41,7.41,7.41,782,1,5794.62,-283.72719372341425
132,2018-01-03,230035,AIR LIQUDE TSIE,89.0,89.0,89.0,89.0,89.0,89.0,31,3,2759.0,-99.19065791544224
133,2018-01-03,380070,ALKIMIA,46.35,0.0,0.0,46.35,0.0,0.0,0,0,,-286.7232324884883
134,2018-01-03,300045,ASTREE,34.0,0.0,0.0,34.0,0.0,0.0,0,0,,13.16889264635579
135,2018-01-03,758001,BEST LEASE,1.9,1.85,1.85,1.85,1.85,1.85,50,1,92.5,229.38510886257203
136,2018-01-03,130055,BTE (ADP),17.21,16.79,16.8,16.8,16.79,16.8,1101,7,18492.78,19.1212735987345
137,2018-01-03,735001,CIMENTS DE BIZERTE,2.5,2.49,2.49,2.49,2.49,2.49,1426,3,3550.74,13.16889264635579
138,2018-01-03,330090,ELBENE INDUSTRIE,3.58,0.0,0.0,3.58,0.0,0.0,0,0,,13.16889264635579
139,2018-01-03,320075,ICF,28.13,28.21,28.21,28.21,28.21,28.21,40,1,1128.4,293.2114307534106
140,2018-01-03,672004,MODERN LEASING,3.86,3.86,3.86,3.86,3.86,3.86,125,1,482.5,13.16889264635579
141,2018-01-03,250065,PLAC. TSIE-SICAF,40.71,0.0,0.0,40.71,0.0,0.0,0,0,,13.16889264635579
142,2018-01-03,667001,SIPHAT,5.3,5.15,5.15,5.15,5.15,5.15,1,1,5.15,-64.50101026626575
143,2018-01-03,140070,SPDIT - SICAF,8.2,8.1,8.1,8.1,8.1,8.1,67,1,542.7,13.16889264635579
144,2018-01-03,664001,STEQ,7.62,0.0,0.0,7.62,0.0,0.0,0,0,,13.16889264635579
145,2018-01-03,410020,TUNINVEST-SICAR,6.5,6.5,6.5,6.5,6.5,6.5,550,1,3575.0,13.16889264635579
146,2018-01-03,240050,UBCI,24.81,0.0,0.0,24.81,0.0,0.0,0,0,,13.16889264635579
147,2018-01-03,768001,ASS MULTI ITTIHAD,8.25,8.01,8.0,8.0,8.0,8.02,6225,53,49856.62,-436.8311073536446
148,2018-01-03,430030,SITEX,6.25,0.0,0.0,6.25,0.0,0.0,0,0,,13.16889264635579
149,2018-01-03,617001,STE TUN. DU SUCRE,7.1,0.0,0.0,7.1,0.0,0.0,0,0,,13.16889264635579
150,2018-01-03,150085,AMS,1.18,1.15,1.15,1.15,1.15,1.15,2991,20,3439.65,13.16889264635579
151,2018-01-03,740001,CARTHAGE CEMENT,2.33,2.3,2.31,2.31,2.3,2.33,18958,65,43703.05,-30.121150643688253
152,2018-01-03,764001,CEREALIS,4.05,4.01,3.97,3.97,3.97,4.02,26319,31,105565.6,290.24697828867295
153,2018-01-03,749001,HEXABYTE,5.28,5.28,5.29,5.29,5.28,5.29,253,2,1338.22,-270.38498258993957
154,2018-01-03,751001,LAND OR,7.5,7.17,7.25,7.25,7.17,7.3,525,11,3786.25,220.06544437049413
155,2018-01-03,754001,NEW BODY LINE,4.95,4.94,4.9,4.9,4.81,4.95,845,5,4125.63,-272.5453930679311
156,2018-01-03,770001,OFFICEPLAST,3.2,3.19,3.07,3.05,3.05,3.2,43475,24,138145.0,-576.9950417798731
157,2018-01-03,734001,SERVICOM,1.52,1.46,1.5,1.5,1.46,1.56,184919,193,274235.48,613.1688926463563
158,2018-01-03,765001,TAWASOL GP HOLDING,0.38,0.38,0.37,0.37,0.37,0.38,61588,56,22945.49,-257.101377623915
159,2018-01-03,750001,AETECH,0.51,0.52,0.52,0.53,0.52,0.52,556,5,289.12,390.52738321239343
160,2018-01-03,766001,MAGHREB INTERN PUB,0.96,0.0,0.0,0.96,0.0,0.0,0,0,,13.16889264635579
161,2018-01-03,773001,SANIMED,4.28,4.27,4.27,4.27,4.27,4.27,600,2,2562.0,-33.66951484778835
162,2018-01-03,760001,SOTEMAIL,2.49,0.0,0.0,2.49,0.0,0.0,0,0,,13.16889264635579
163,2018-01-03,503001,STIP,1.06,0.0,0.0,1.06,0.0,0.0,0,0,,13.16889264635579
164,2018-01-04,725001,ADWYA,5.35,5.31,5.55,5.55,5.31,5.55,24205,80,132879.21,28.28964318691396
165,2018-01-04,340005,AMEN BANK,23.99,23.99,23.9,23.9,23.4,23.99,440,10,10448.2,7.708392480141324
166,2018-01-04,730001,ARTES,6.25,6.25,6.26,6.26,6.19,6.26,1276,9,7962.76,-25.764410867139542
167,2018-01-04,714001,ASSAD,8.99,8.85,9.09,9.09,8.85,9.11,8593,46,77735.14,95.24769034298109
168,2018-01-04,360035,ATB,4.15,4.2,4.17,4.17,4.1,4.2,16841,18,69391.29,-145.6684876057479
169,2018-01-04,774001,ATELIER MEUBLE INT,2.49,2.43,2.48,2.48,2.43,2.48,10763,26,26165.04,-227.37731409294582
170,2018-01-04,470010,ATL,3.09,3.1,3.1,3.1,3.1,3.1,700,3,2170.0,38.75171816511758
171,2018-01-04,160015,ATTIJARI BANK,36.15,36.16,36.47,36.47,36.16,36.5,1787,31,64802.43,81.1727977975174
172,2018-01-04,661001,ATTIJARI LEASING,17.71,17.89,17.76,17.76,17.75,17.89,689,9,12235.83,-3.24188834461836
173,2018-01-04,190060,BH,18.43,18.01,18.0,18.0,17.88,18.44,4967,41,90406.95,-42.431077533806594
174,2018-01-04,180045,BIAT,120.0,120.0,118.5,118.5,118.08,120.0,720,15,85401.76,92.37904904847215
175,2018-01-04,310060,BNA,11.7,11.52,11.69,11.69,11.52,11.69,2302,11,26757.62,-102.75329025122848
176,2018-01-04,220005,BT,7.82,7.82,7.82,7.82,7.81,7.99,27736,48,216937.0,-25.764410867139542
177,2018-01-04,759001,CELLCOM,1.9,1.88,1.89,1.89,1.88,1.89,1153,6,2173.67,-290.3146754174035
178,2018-01-04,420085,CIL,17.3,17.78,17.78,17.78,17.78,17.78,507,5,9014.46,-25.764410867139542
179,2018-01-04,755001,CITY CARS,11.07,11.5,11.0,11.0,11.0,11.5,510,7,5752.6,419.6901345874071
180,2018-01-04,767001,DELICE HOLDING,16.5,16.98,16.98,16.98,16.5,16.98,1382,9,23359.02,-72.87866292838952
181,2018-01-04,665001,ELECTROSTAR,2.67,2.7,2.63,2.63,2.62,2.75,1825,23,4882.88,-63.787224555351685
182,2018-01-04,741001,ENNAKL AUTOMOBILES,12.6,12.6,12.5,12.5,12.5,12.6,435,6,5460.98,54.235589132860525
183,2018-01-04,721001,ESSOUKNA,3.65,3.64,3.74,3.74,3.64,3.75,375,6,1372.2,54.449492876176286
184,2018-01-04,757001,EURO-CYCLES,27.5,28.0,28.49,28.49,28.0,28.79,11560,110,326278.21,-201.2645863673146
185,2018-01-04,713001,GIF-FILTER,1.44,1.44,1.48,1.48,1.42,1.48,18567,38,26865.45,-160.8995460022744
186,2018-01-04,731013,HANNIBAL LEASE,8.06,8.2,8.09,8.09,8.09,8.2,6080,2,49187.31,-137.0128657497105
187,2018-01-04,644001,MAGASIN GENERAL,39.0,38.5,39.0,39.0,38.5,39.0,741,6,28724.0,-153.96953907226728
188,2018-01-04,100010,MONOPRIX,11.6,11.44,11.5,11.5,11.27,11.5,3876,16,44336.23,269.887763045904
189,2018-01-04,762001,MPBS,3.03,3.03,3.1,3.1,3.03,3.1,6349,8,19632.9,-316.0869915123021
190,2018-01-04,753001,ONE TECH HOLDING,13.78,13.8,13.6,13.6,13.42,13.8,12203,49,165034.48,-165.47029322008024
191,2018-01-04,570001,POULINA GP HOLDING,11.49,11.49,11.32,11.32,11.32,11.49,407,7,4623.39,-25.764410867139542
192,2018-01-04,761001,SAH,15.65,15.7,15.79,15.79,15.7,15.88,3324,24,52221.96,233.89360053247987
193,2018-01-04,110025,SFBT,19.88,19.88,19.78,19.78,19.6,19.88,4334,42,85754.16,-25.764410867139542
194,2018-01-04,659001,SIAME,2.3,2.36,2.29,2.29,2.29,2.36,1175,3,2692.5,-375.1093890330792
195,2018-01-04,400005,SIMPAR,43.99,43.7,43.5,43.5,43.5,44.32,370,8,16144.23,-140.7069396027716
196,2018-01-04,718001,SITS,2.35,2.4,2.46,2.46,2.35,2.47,9408,21,22584.91,543.3412801897708
197,2018-01-04,678001,SOMOCER,1.2,1.22,1.23,1.23,1.22,1.26,78239,159,97061.02,462.04046718164136
198,2018-01-04,729001,SOPAT,0.74,0.74,0.76,0.76,0.74,0.76,23446,26,17357.76,-25.764410867139542
199,2018-01-04,653001,SOTETEL,2.82,2.89,2.88,2.88,2.88,2.89,7152,3,20597.78,-25.764410867139542
200,2018-01-04,763001,SOTIPAPIER,3.5,3.5,3.49,3.49,3.4,3.5,6284,18,21544.44,-283.64406702759857
201,2018-01-04,666001,SOTRAPIL,10.71,10.89,10.9,10.9,10.75,10.9,1958,14,21168.46,56.804396472309726
202,2018-01-04,658001,SOTUMAG,1.95,1.96,1.95,1.95,1.92,1.96,561,7,1099.42,-282.17466727739617
203,2018-01-04,656001,SOTUVER,4.8,4.8,4.66,4.66,4.66,4.8,13549,57,64302.76,-154.51977567400797
204,2018-01-04,606001,STAR,100.0,98.0,99.98,99.98,97.16,99.98,153,11,14894.59,-323.82402278952395
205,2018-01-04,260095,STB,3.72,3.7,3.7,3.7,3.7,3.7,500,2,1850.0,-241.98062708335578
206,2018-01-04,744001,TELNET HOLDING,5.94,5.94,6.1,6.1,5.94,6.11,64814,105,392537.68,105.38313011646761
207,2018-01-04,727001,TPR,3.4,3.39,3.29,3.29,3.29,3.39,15991,66,53402.66,-25.764410867139542
208,2018-01-04,738001,TUNIS RE,8.25,8.34,8.5,8.5,8.3,8.5,19902,54,167746.32,-155.17617557302077
209,2018-01-04,120040,TUNISAIR,0.42,0.42,0.43,0.43,0.41,0.43,10565,23,4443.75,-258.3225504020237
210,2018-01-04,769001,UADH,2.46,2.54,2.6,2.6,2.54,2.6,594,7,1520.76,320.3894352867054
211,2018-01-04,390010,UIB,22.1,22.1,22.0,22.0,22.0,22.1,8510,43,187283.58,-25.764410867139542
212,2018-01-04,772001,UNIMED,8.0,7.99,7.98,7.98,7.76,7.99,1614,12,12812.25,-0.7017542255360887
213,2018-01-04,720001,WIFACK INT BANK,7.41,7.2,7.19,7.19,7.19,7.2,793,3,5701.72,-39.672616708587015
214,2018-01-04,230035,AIR LIQUDE TSIE,89.0,87.0,88.0,88.0,87.0,88.0,44,4,3865.0,-3.0371381398675013
215,2018-01-04,380070,ALKIMIA,46.35,0.0,0.0,44.96,0.0,0.0,0,0,,-475.0526670948985
216,2018-01-04,300045,ASTREE,34.0,34.0,34.0,34.0,34.0,34.0,1,1,34.0,-25.764410867139542
217,2018-01-04,758001,BEST LEASE,1.85,1.89,1.89,1.89,1.89,1.89,200,1,378.0,-25.764410867139542
218,2018-01-04,130055,BTE (ADP),16.8,16.81,16.81,16.81,16.81,16.81,500,2,8405.0,224.08686813345736
219,2018-01-04,735001,CIMENTS DE BIZERTE,2.49,0.0,0.0,2.49,0.0,0.0,0,0,,-25.764410867139542
220,2018-01-04,330090,ELBENE INDUSTRIE,3.58,0.0,0.0,3.58,0.0,0.0,0,0,,-25.764410867139542
221,2018-01-04,320075,ICF,28.21,29.0,29.0,29.0,29.0,29.0,36,2,1044.0,-25.764410867139542
222,2018-01-04,672004,MODERN LEASING,3.86,0.0,0.0,3.86,0.0,0.0,0,0,,-310.73850413138814
223,2018-01-04,250065,PLAC. TSIE-SICAF,40.71,0.0,0.0,40.71,0.0,0.0,0,0,,-25.764410867139542
224,2018-01-04,667001,SIPHAT,5.15,5.11,5.11,5.11,5.11,5.11,1,1,5.11,267.77766349685095
225,2018-01-04,140070,SPDIT - SICAF,8.1,0.0,0.0,8.1,0.0,0.0,0,0,,-25.764410867139542
